exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
6042;86.1063;9.99055;9.41898;0;0.178667391268289;0.3392768441774972;0.4810155251624653;0.6077135988647037;0.7087810206124889;0.7933875528226009;0.8595308283600387;0.9067813991828134;0.9351247740193664;0.9451155874554552
6043;86.5664;9.37277;12.4967;0;0.1786617670947547;0.3392853149173878;0.4810121936731963;0.6101345200661458;0.7095537117973361;0.7919188653155808;0.8580778677389569;0.9053244329466848;0.933667117687648;0.9436579323710118
6044;94.5131;13.7001;7.99255;0;0.1786673860595831;0.339277185394163;0.4810219008255178;0.604352581138117;0.7176203418175622;0.8109009928171511;0.8770516667409214;0.9242921116361244;0.952631547871653;0.9626230876704422
6045;98.282;12.3684;7.97291;0;0.1786673853224901;0.3392771999035272;0.4810233285415638;0.6039489011191573;0.7142663869550256;0.8016362220102612;0.8678971417935233;0.9151352595188296;0.9434747182754802;0.9534662582066186
6046;95.4722;6.40766;12.5738;0;0.1786621177821642;0.3392969887342921;0.4810204284850965;0.6048129187598726;0.7168583437392368;0.7948593263671923;0.8606970114937623;0.90795615830354;0.9362987045730536;0.9462895195362604
6047;89.6785;3.65594;10.2822;0.00000000000000001387778780781446;0.1786352910914604;0.3392638694402862;0.4809789818306184;0.6076308319564733;0.7284859673718032;0.8138830936935021;0.8800268951990934;0.9272781227463516;0.9556299444978058;0.9655907837232718
6048;92.4243;14.8293;13.578;0;0.1786673867749489;0.3392768651421298;0.4810287818889655;0.6120768743801515;0.731734777227054;0.8381001234742397;0.904356788782555;0.951600071735001;0.9799449288848592;0.9899364962216458
6049;86.3262;8.6037;5.6203;0;0.1786617483761595;0.3392873759975614;0.4810286926885202;0.6044467312575276;0.7071856932728009;0.791759593167135;0.8579178190139579;0.9051587718014456;0.933502102053709;0.9434929163547508
6050;94.0838;15.8166;4.09515;0;0.1786617460660246;0.3392871118205138;0.4810174281861676;0.6038028215388462;0.7281927077012517;0.8186132587071233;0.8847582230275417;0.932008353034567;0.960347530431338;0.9703390740302106
6051;80.1221;16.7449;15.7615;0;0.1786617586401196;0.3393189078075154;0.47977270538016;0.6571757585745253;0.8254742161716259;0.9123632598285972;0.9785068336364506;1.025738353978969;1.054095879299582;1.064083029741934
6052;99.7541;6.07306;10.4553;0;0.1786621314955111;0.339295099416186;0.4810230775532567;0.603913158617629;0.7144601503115157;0.7959501957334428;0.8615333078156954;0.9087974427554216;0.937140623838807;0.947131438342896
6053;85.6525;8.01179;5.16884;0;0.1786621338804176;0.3392949491069456;0.4810224121455279;0.6042870760318023;0.7072010851821009;0.7918194668826827;0.857974943993984;0.9052158685279382;0.9335591990350778;0.9435500133354238
6054;93.4788;16.8681;9.94868;0;0.1786617427595843;0.3392869644990214;0.4810541339379388;0.6025162708074975;0.7546156715456106;0.8677379319432088;0.9339226480730488;0.9811572169937334;1.00951459556411;1.01950175645991
6055;98.4466;17.3196;8.2429;0;0.1786617450191072;0.3392870519962113;0.4810215894567508;0.6035472059289132;0.7417174859787105;0.8669813076088524;0.9331595152170336;0.980400531106552;1.008756209641797;1.018743372809691
6056;98.8825;14.8926;14.8237;0;0.1786673909297362;0.3392766722779007;0.4810336801074332;0.6043471059054073;0.7299071191444321;0.8377142949673183;0.9061633796761936;0.9533828354156232;0.9817277510188862;0.9917193220832468
6057;98.2232;14.2937;12.1246;0;0.1786673854382561;0.339277184747455;0.4810256086908136;0.6041645876142394;0.7238118567142588;0.8235078629027714;0.8904654377847576;0.937694049091038;0.9660335768220378;0.9760251175370054
6058;90.6536;8.7149;14.5608;0;0.1786617619228664;0.3392861638656942;0.4810160673725736;0.6094367252263657;0.7145203558204815;0.7909004266583487;0.8569959167498452;0.9042450279218854;0.9325876648963242;0.9425784796367646
6059;98.2842;10.8798;9.15604;0;0.1786673857578895;0.3392771775224705;0.4810237238440421;0.603961767717845;0.7132123901501278;0.7957978340631404;0.8620340566284942;0.9092734489693856;0.9376128894777876;0.9476044294493014
6060;93.0878;6.50793;11.3773;0;0.1786621512537759;0.339294366750279;0.4810160799963235;0.6049488854730781;0.7150128306088075;0.7941480761410776;0.8602448519241567;0.9074929287078852;0.9358356396673576;0.9458264668445618
6061;94.6847;9.02213;11.3951;0;0.1786621170821107;0.3392969107295532;0.4810157425526778;0.6047609084478797;0.713150666339134;0.7916036208295761;0.8576940150576988;0.904936678276624;0.933279985871341;0.9432708001713564
6062;92.7883;13.8999;12.5692;0;0.1786673785888539;0.3392764098509535;0.4810106665420846;0.6086647563149375;0.7234318030965015;0.8218253803705216;0.8880576733851642;0.9353010211414864;0.9636458645390016;0.9736374317393298
6063;89.6476;16.246;9.67397;0;0.178661737621179;0.339287213755716;0.4810434568050643;0.6109694234041062;0.7574168098902753;0.8522361144282717;0.9183740244639256;0.9656106556699132;0.9939673060789648;1.003954460958095
6064;91.9661;15.9193;9.83165;0;0.178661763033526;0.3392851624183048;0.4810323121207414;0.6060731287066146;0.7416481661707033;0.8451032063133038;0.9112527043805298;0.9584939400110744;0.9868333554427908;0.996824895468837
6065;86.4279;8.58188;5.50781;0;0.1786617694489711;0.3392857078725474;0.4810213428057074;0.6043852856847343;0.7071929893371759;0.7917665616472902;0.8579254886102533;0.9051663729272686;0.9335097036633046;0.9435005179679758
6066;99.5236;6.97755;6.79651;0;0.1786621152027786;0.3392969973827492;0.4810106587611755;0.6038290197766998;0.71068258321891;0.7928554427673101;0.8588861955458758;0.90613100453908;0.93447428221109;0.944465096562056
6067;82.616;10.2474;12.7347;0;0.1786673271415365;0.3392908506761598;0.4810729402758427;0.6126094047172657;0.7097131897617782;0.7945338523702259;0.8606766494959707;0.9079237607025498;0.9362664352318968;0.9462572497525346
6068;89.2688;17.9005;14.6937;0;0.1786616436924599;0.3392906923343751;0.4811911526795112;0.5970408832713531;0.8906556281742609;0.972821957759487;1.039115730981979;1.086360444496975;1.114703233653239;1.124690881723568
