exp_number;crackX;crackY;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
2273;171.688;14.3919;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792828;0.858983;0.905886;0.938059;0.952152
2274;140.971;9.89271;0.;0.178662;0.339295;0.481024;0.603861;0.707785;0.792859;0.864516;0.906468;0.934739;0.944728
2275;49.5912;8.04162;0.;0.178672;0.340564;0.482901;0.601743;0.705708;0.790747;0.856891;0.904133;0.932472;0.942463
2276;103.547;12.5928;0.;0.178667;0.339277;0.481026;0.603848;0.716178;0.80297;0.870515;0.917746;0.946086;0.956077
2277;53.1845;13.3811;0.;0.17865;0.342249;0.495521;0.629994;0.733939;0.818974;0.885118;0.932359;0.960699;0.97069
2278;138.472;13.5141;0.;0.178667;0.339277;0.481011;0.603844;0.707793;0.792762;0.866224;0.917604;0.946212;0.956198
2279;41.5367;11.1203;0.;0.178717;0.347251;0.48709;0.61043;0.714371;0.79941;0.865554;0.912796;0.941135;0.951127
2280;97.994;9.51946;0.;0.178662;0.339297;0.481023;0.603979;0.712979;0.792447;0.858533;0.905776;0.934119;0.94411
2281;37.4454;8.66615;0.;0.178608;0.343832;0.478964;0.601627;0.705575;0.790614;0.856757;0.903999;0.932339;0.94233
2282;189.045;16.3817;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792827;0.858964;0.906254;0.931685;0.935483
2283;159.954;5.26296;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792824;0.859147;0.911721;0.937323;0.946976
2284;171.18;13.9788;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792828;0.858981;0.906168;0.937729;0.951082
2285;18.1458;16.5162;0.;0.23221;0.450915;0.592712;0.715539;0.819485;0.904524;0.970667;1.01791;1.04625;1.05624
2286;183.096;7.74689;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792828;0.858968;0.906272;0.939789;0.947082
2287;26.3512;6.67396;-0.00000000000000000693889;0.180966;0.343152;0.481966;0.604841;0.708784;0.793823;0.859966;0.907208;0.935548;0.945539
2288;116.41;7.98671;0.;0.178662;0.339297;0.481011;0.603854;0.708061;0.797834;0.857924;0.905074;0.933421;0.943411
2289;155.473;16.2972;0.;0.178662;0.339295;0.481024;0.603861;0.707795;0.792845;0.858347;0.917248;0.959686;0.969705
2290;114.053;6.27521;0.;0.178662;0.339297;0.48101;0.603846;0.708381;0.798892;0.860516;0.907742;0.936089;0.946079
2291;76.8118;9.92479;0.;0.178662;0.339286;0.481246;0.608934;0.708255;0.793283;0.859433;0.906674;0.935018;0.945009
2292;155.061;13.9877;0.;0.178662;0.339295;0.481024;0.603861;0.707785;0.792832;0.858749;0.911683;0.945;0.955032
2293;77.8924;15.1201;0.;0.178667;0.339278;0.481221;0.625238;0.752065;0.837345;0.903481;0.950731;0.97907;0.989062
2294;128.949;15.7086;0.;0.178662;0.339285;0.48102;0.603852;0.707809;0.798755;0.884244;0.938532;0.96686;0.976847
2295;119.258;6.18767;0.;0.178662;0.339295;0.48101;0.603853;0.707896;0.798817;0.860999;0.907879;0.936232;0.946223
2296;31.1205;8.15724;0.;0.178955;0.341447;0.478271;0.601124;0.705072;0.79011;0.856254;0.903496;0.931835;0.941827
2297;24.8224;14.7609;0.;0.204163;0.390987;0.536715;0.659515;0.763461;0.8485;0.914643;0.961885;0.990225;1.00022
2298;31.783;2.94864;0.00000000000000000693889;0.183222;0.380383;0.528692;0.65144;0.755386;0.840425;0.906569;0.95381;0.98215;0.992141
2299;84.8008;4.14121;0.;0.178662;0.339281;0.480993;0.610684;0.724459;0.808826;0.874985;0.922236;0.950588;0.960549
