exp_number;crackX;crackY;crackExtent;sensor0;sensor1;sensor2;sensor3;sensor4;sensor5;sensor6;sensor7;sensor8;sensor9;sensor10
1466;115.205;5.677;9.63006;0;0.1786621449412604;0.339294806810611;0.48100956319234;0.6038554279260885;0.7081763050665237;0.799660468174859;0.8623611582956064;0.909562811162875;0.937907744204434;0.9478985155598816
1467;59.5478;10.9019;14.7894;0;0.1786635499062146;0.3400836746374385;0.4934913249929039;0.6095835831759921;0.7142187560357419;0.7992462868512076;0.8653962278092687;0.9126349689883478;0.9409797106141588;0.9509712790882428
1468;101.901;17.4766;15.9771;0;0.1786619032801934;0.3392876658449765;0.4810446967104292;0.6018504859819374;0.768859897423523;0.9290235262198066;0.9944805396154682;1.041752822767391;1.070109550852868;1.080096699321316
1469;79.7533;3.56796;8.32244;0.000000000000000006938893903907228;0.1786353443542213;0.3392594716550104;0.4810637409163966;0.6162125636727337;0.7280631782271441;0.8130076758759611;0.8791561538638413;0.9263975318786892;0.9547493176357164;0.9647101576204392
1470;148.077;3.60907;6.68082;0;0.178662146897401;0.3392947680207682;0.4810244814963281;0.6038607126962875;0.7077950667594047;0.7928186281766434;0.8605988211596357;0.913593822043176;0.9417749133326648;0.9517408650064642
1471;194.288;17.7126;4.35862;0;0.1786621467444383;0.3392947971570728;0.4810228159890567;0.6038435312134952;0.7077816132233452;0.7928281852503272;0.8589756461688567;0.9062166521182748;0.934458928238106;0.945646382950107
1472;94.774;11.4362;14.8979;0;0.1786673910882122;0.3392767890348176;0.4810221729356159;0.6072593387106957;0.718484022273964;0.8005543523990407;0.8670615068241241;0.9142998498390638;0.942644605722358;0.9526361745321794
1473;37.3048;6.86241;10.1303;0.00000000000000001387778780781446;0.178470276070256;0.3456023878944206;0.481560728362342;0.6041098866637767;0.7080617632549839;0.7931003827970488;0.8592438447857786;0.906485742935883;0.9348251498371354;0.944816689880913
1474;22.8064;11.6064;12.5248;0.00000000000000002081668171172168;0.1914545369873066;0.3506891448229352;0.494539046260548;0.6173536032057049;0.7212767574325429;0.8063174413357428;0.8724621915825818;0.9197106651910752;0.9480554436092426;0.958047011284081
1475;157.465;9.52704;14.9513;0;0.1786621449695503;0.3392947989280234;0.4810102467155477;0.6038550088902257;0.7077866497875878;0.792818303349023;0.8606394088299382;0.9173025413727224;0.9346662099372912;0.9443053234137146
1476;79.0494;15.1677;6.87489;0;0.1786673779835716;0.3392914253740558;0.4810329267429547;0.6200789200187338;0.7410958365537155;0.826210362256682;0.8923488610751662;0.9395990390203188;0.967938216900652;0.9779297604808354
1477;89.6915;3.47541;15.688;0;0.1786353225735478;0.3392768617321948;0.4809770850223923;0.6138837798329289;0.7401437813360501;0.82678719898576;0.8928852415749656;0.940135840401143;0.9684876136169096;0.9784484544615618
1478;97.8382;6.63176;5.98365;0;0.1786621370490348;0.3392949297220612;0.4810219236564793;0.6038203418877515;0.710529234090493;0.7933213151824442;0.8594391225046625;0.906685804663505;0.9350285333920352;0.945019360624827
1479;61.6549;16.0213;10.2138;0;0.1786721137243639;0.3392168699648748;0.5144816139400429;0.6748024862657965;0.7795571274308013;0.8645998023379258;0.9307432488437182;0.9779851477022786;1.006324554591941;1.016316094635779
